number_of_dependents,is_graduated,is_self_employed,annual_income,loan_amount,loan_term,credit_score,residential_assets,commercial_assets,luxury_assets,bank_assets,loan_status
2,no,no,19000.0,65000.0,18,671,6000.0,25000.0,48000.0,11000.0,approved
4,yes,no,57000.0,148000.0,16,697,143000.0,78000.0,129000.0,63000.0,approved
0,yes,no,90000.0,335000.0,8,801,116000.0,89000.0,354000.0,111000.0,approved
2,no,no,85000.0,294000.0,12,576,176000.0,56000.0,252000.0,90000.0,approved
0,no,no,7000.0,14000.0,14,639,19000.0,7000.0,24000.0,9000.0,approved
4,yes,no,35000.0,89000.0,4,470,13000.0,22000.0,123000.0,20000.0,rejected
0,no,no,88000.0,312000.0,4,826,29000.0,5000.0,333000.0,86000.0,approved
3,yes,no,36000.0,86000.0,20,613,94000.0,3000.0,103000.0,33000.0,approved
3,no,yes,30000.0,82000.0,16,713,53000.0,58000.0,110000.0,34000.0,approved
2,yes,no,68000.0,212000.0,16,439,171000.0,47000.0,233000.0,36000.0,rejected
5,no,yes,11000.0,38000.0,18,387,13000.0,12000.0,38000.0,16000.0,rejected
1,no,yes,87000.0,283000.0,8,402,204000.0,136000.0,279000.0,102000.0,rejected
4,yes,yes,20000.0,80000.0,6,837,51000.0,26000.0,39000.0,29000.0,approved
4,yes,no,57000.0,211000.0,18,489,5000.0,43000.0,125000.0,60000.0,rejected
4,yes,no,88000.0,207000.0,18,540,192000.0,32000.0,224000.0,127000.0,rejected
4,yes,no,38000.0,89000.0,4,844,91000.0,35000.0,131000.0,47000.0,approved
1,yes,no,17000.0,64000.0,10,452,9000.0,11000.0,56000.0,21000.0,rejected
2,yes,no,10000.0,20000.0,10,366,12000.0,4000.0,32000.0,13000.0,rejected
5,yes,no,3000.0,11000.0,2,300,1000.0,5000.0,7000.0,4000.0,approved
2,yes,yes,66000.0,150000.0,18,470,12000.0,48000.0,182000.0,70000.0,rejected
2,no,no,87000.0,250000.0,20,861,147000.0,85000.0,232000.0,73000.0,approved
0,yes,no,44000.0,108000.0,14,463,24000.0,48000.0,138000.0,47000.0,rejected
4,no,no,4000.0,9000.0,12,478,7000.0,1000.0,12000.0,1000.0,rejected
2,no,yes,3000.0,11000.0,2,702,3000.0,2000.0,5000.0,2000.0,approved
2,no,yes,43000.0,129000.0,20,618,114000.0,36000.0,114000.0,24000.0,approved
4,yes,no,16000.0,45000.0,12,633,7000.0,17000.0,41000.0,19000.0,approved
5,no,yes,62000.0,236000.0,10,331,185000.0,103000.0,238000.0,87000.0,rejected
3,no,yes,42000.0,97000.0,16,841,78000.0,3000.0,167000.0,51000.0,approved
0,yes,no,27000.0,106000.0,6,591,13000.0,27000.0,99000.0,18000.0,approved
1,yes,yes,97000.0,359000.0,2,719,196000.0,76000.0,204000.0,109000.0,approved
2,yes,no,33000.0,68000.0,14,317,34000.0,3000.0,117000.0,36000.0,rejected
0,no,no,3000.0,11000.0,8,778,8000.0,2000.0,9000.0,1000.0,approved
3,yes,yes,74000.0,182000.0,14,302,56000.0,31000.0,179000.0,50000.0,rejected
5,no,no,71000.0,197000.0,8,502,73000.0,56000.0,253000.0,98000.0,rejected
5,no,yes,73000.0,221000.0,18,879,195000.0,106000.0,193000.0,98000.0,approved
1,no,no,84000.0,234000.0,14,437,154000.0,58000.0,334000.0,81000.0,rejected
0,no,yes,33000.0,108000.0,12,797,6000.0,60000.0,77000.0,33000.0,approved
4,no,yes,58000.0,232000.0,18,456,161000.0,42000.0,226000.0,75000.0,rejected
0,no,no,6000.0,16000.0,6,647,15000.0,6000.0,15000.0,7000.0,approved
0,no,no,72000.0,158000.0,12,379,127000.0,122000.0,215000.0,36000.0,rejected
1,no,yes,91000.0,329000.0,2,717,22000.0,20000.0,236000.0,59000.0,approved
5,yes,no,9000.0,23000.0,16,545,1000.0,2000.0,27000.0,8000.0,rejected
2,yes,no,8000.0,32000.0,8,317,3000.0,10000.0,20000.0,9000.0,rejected
1,no,no,85000.0,329000.0,10,570,51000.0,62000.0,205000.0,55000.0,approved
3,yes,no,70000.0,195000.0,14,719,122000.0,103000.0,182000.0,102000.0,approved
3,yes,no,2000.0,6000.0,16,821,4000.0,1000.0,5000.0,1000.0,approved
4,no,yes,4000.0,8000.0,10,859,9000.0,5000.0,8000.0,2000.0,approved
3,no,no,51000.0,182000.0,10,395,1000.0,80000.0,155000.0,63000.0,rejected
2,no,yes,7000.0,26000.0,12,429,16000.0,13000.0,27000.0,8000.0,rejected
3,yes,no,4000.0,12000.0,12,861,2000.0,6000.0,11000.0,2000.0,approved
0,no,yes,95000.0,208000.0,14,565,151000.0,119000.0,339000.0,134000.0,approved
5,yes,no,88000.0,226000.0,10,357,79000.0,86000.0,182000.0,49000.0,rejected
3,no,yes,18000.0,36000.0,18,465,6000.0,5000.0,54000.0,26000.0,rejected
4,no,yes,68000.0,139000.0,8,479,117000.0,91000.0,257000.0,96000.0,rejected
3,no,no,15000.0,55000.0,16,717,21000.0,8000.0,44000.0,13000.0,approved
3,yes,no,16000.0,55000.0,12,425,6000.0,8000.0,54000.0,9000.0,rejected
2,no,no,46000.0,167000.0,2,786,2000.0,59000.0,139000.0,61000.0,approved
5,no,yes,22000.0,67000.0,6,382,44000.0,13000.0,86000.0,11000.0,rejected
3,no,yes,29000.0,85000.0,12,564,10000.0,31000.0,75000.0,18000.0,approved
0,yes,no,2000.0,7000.0,8,501,5000.0,2000.0,7000.0,1000.0,rejected
2,no,yes,25000.0,94000.0,10,727,66000.0,41000.0,95000.0,33000.0,approved
4,no,no,36000.0,75000.0,6,894,11000.0,65000.0,74000.0,28000.0,approved
0,yes,yes,55000.0,167000.0,18,829,55000.0,13000.0,128000.0,59000.0,approved
4,no,no,66000.0,174000.0,20,506,26000.0,100000.0,259000.0,72000.0,rejected
5,no,no,6000.0,15000.0,14,543,3000.0,9000.0,21000.0,3000.0,rejected
3,yes,yes,14000.0,32000.0,20,772,24000.0,9000.0,51000.0,16000.0,approved
3,yes,no,40000.0,111000.0,12,572,97000.0,1000.0,125000.0,24000.0,approved
0,no,yes,49000.0,119000.0,16,709,146000.0,9000.0,185000.0,38000.0,approved
5,yes,no,20000.0,62000.0,18,402,40000.0,21000.0,72000.0,11000.0,rejected
1,no,yes,52000.0,193000.0,8,481,143000.0,95000.0,188000.0,42000.0,rejected
5,yes,yes,89000.0,288000.0,6,772,136000.0,55000.0,204000.0,84000.0,approved
1,yes,yes,65000.0,206000.0,2,306,159000.0,19000.0,181000.0,32000.0,approved
2,no,no,13000.0,45000.0,6,415,0.0,9000.0,29000.0,12000.0,rejected
3,no,no,94000.0,350000.0,16,548,182000.0,44000.0,361000.0,48000.0,rejected
5,no,no,50000.0,112000.0,8,701,91000.0,5000.0,140000.0,46000.0,approved
2,yes,no,30000.0,77000.0,12,890,47000.0,43000.0,84000.0,21000.0,approved
5,yes,yes,7000.0,13000.0,20,704,16000.0,0.0,22000.0,6000.0,approved
3,yes,yes,40000.0,106000.0,10,318,15000.0,51000.0,80000.0,49000.0,rejected
5,no,no,31000.0,96000.0,2,761,58000.0,18000.0,104000.0,42000.0,approved
4,no,no,45000.0,151000.0,6,693,37000.0,15000.0,178000.0,60000.0,approved
2,no,yes,20000.0,53000.0,10,681,49000.0,14000.0,43000.0,29000.0,approved
2,yes,yes,81000.0,223000.0,18,737,223000.0,126000.0,270000.0,73000.0,approved
0,no,no,57000.0,159000.0,16,638,1000.0,95000.0,163000.0,45000.0,approved
4,no,no,58000.0,128000.0,2,656,5000.0,50000.0,160000.0,28000.0,approved
1,yes,no,18000.0,65000.0,6,540,25000.0,32000.0,50000.0,11000.0,rejected
4,no,yes,91000.0,352000.0,6,341,10000.0,3000.0,231000.0,82000.0,rejected
0,no,yes,48000.0,175000.0,2,371,117000.0,68000.0,187000.0,35000.0,approved
3,no,yes,38000.0,105000.0,12,886,40000.0,5000.0,149000.0,23000.0,approved
0,no,no,19000.0,41000.0,18,801,4000.0,8000.0,48000.0,12000.0,approved
3,no,yes,36000.0,95000.0,16,748,77000.0,24000.0,97000.0,26000.0,approved
2,no,yes,74000.0,282000.0,8,376,219000.0,50000.0,174000.0,52000.0,rejected
4,no,yes,66000.0,143000.0,8,371,108000.0,95000.0,185000.0,74000.0,rejected
2,yes,no,18000.0,53000.0,6,826,45000.0,7000.0,65000.0,13000.0,approved
4,no,no,92000.0,272000.0,12,873,45000.0,18000.0,338000.0,114000.0,approved
5,no,yes,24000.0,86000.0,8,309,5000.0,6000.0,57000.0,28000.0,rejected
4,no,no,56000.0,133000.0,20,869,33000.0,75000.0,200000.0,65000.0,approved
5,yes,no,38000.0,139000.0,12,534,47000.0,29000.0,82000.0,28000.0,rejected
3,no,yes,45000.0,179000.0,6,787,98000.0,36000.0,143000.0,42000.0,approved
0,yes,yes,9000.0,22000.0,16,566,1000.0,7000.0,20000.0,6000.0,approved
0,no,no,28000.0,99000.0,8,742,49000.0,13000.0,67000.0,17000.0,approved
2,no,no,75000.0,231000.0,4,824,121000.0,109000.0,263000.0,95000.0,approved
4,yes,no,14000.0,31000.0,14,575,30000.0,21000.0,49000.0,14000.0,approved
2,yes,yes,38000.0,109000.0,10,766,19000.0,39000.0,86000.0,30000.0,approved
1,no,yes,17000.0,50000.0,10,888,29000.0,9000.0,41000.0,22000.0,approved
3,yes,yes,90000.0,304000.0,6,638,168000.0,110000.0,269000.0,92000.0,approved
5,no,yes,73000.0,233000.0,6,622,71000.0,116000.0,264000.0,105000.0,approved
1,no,no,74000.0,198000.0,18,458,126000.0,62000.0,277000.0,40000.0,rejected
1,no,no,90000.0,282000.0,16,327,17000.0,23000.0,240000.0,112000.0,rejected
0,no,no,30000.0,65000.0,2,612,88000.0,34000.0,67000.0,17000.0,approved
1,yes,no,8000.0,29000.0,8,682,22000.0,11000.0,29000.0,7000.0,approved
2,yes,no,48000.0,132000.0,2,583,137000.0,58000.0,95000.0,52000.0,approved
5,no,no,64000.0,183000.0,8,697,100000.0,36000.0,225000.0,36000.0,approved
3,yes,no,92000.0,271000.0,12,306,58000.0,115000.0,280000.0,96000.0,rejected
4,no,yes,4000.0,15000.0,2,669,-1000.0,6000.0,9000.0,5000.0,approved
2,no,no,28000.0,60000.0,18,816,63000.0,42000.0,80000.0,34000.0,approved
4,no,yes,85000.0,289000.0,20,455,152000.0,58000.0,225000.0,94000.0,rejected
3,yes,yes,47000.0,164000.0,10,318,114000.0,81000.0,162000.0,43000.0,rejected
2,no,yes,38000.0,89000.0,16,389,2000.0,56000.0,122000.0,22000.0,rejected
2,yes,no,5000.0,15000.0,2,888,15000.0,3000.0,15000.0,6000.0,approved
2,yes,yes,69000.0,156000.0,6,352,130000.0,53000.0,226000.0,100000.0,rejected
4,no,yes,96000.0,301000.0,12,870,3000.0,67000.0,382000.0,56000.0,approved
3,no,no,29000.0,65000.0,18,827,83000.0,6000.0,104000.0,32000.0,approved
2,yes,no,98000.0,209000.0,12,768,34000.0,102000.0,386000.0,134000.0,approved
0,yes,no,71000.0,154000.0,18,707,103000.0,108000.0,196000.0,58000.0,approved
1,no,yes,77000.0,191000.0,10,355,113000.0,49000.0,219000.0,66000.0,rejected
3,yes,no,14000.0,33000.0,2,652,1000.0,21000.0,35000.0,19000.0,approved
3,yes,no,78000.0,159000.0,2,665,144000.0,9000.0,272000.0,54000.0,approved
5,no,yes,17000.0,60000.0,18,420,5000.0,16000.0,37000.0,23000.0,rejected
2,no,no,85000.0,327000.0,18,471,126000.0,94000.0,339000.0,125000.0,rejected
5,no,no,19000.0,75000.0,20,715,51000.0,28000.0,65000.0,28000.0,approved
2,no,yes,67000.0,152000.0,10,689,0.0,82000.0,150000.0,68000.0,approved
3,yes,yes,69000.0,164000.0,4,787,111000.0,61000.0,264000.0,38000.0,approved
2,yes,no,26000.0,78000.0,4,819,31000.0,43000.0,57000.0,15000.0,approved
4,yes,yes,96000.0,211000.0,6,809,161000.0,95000.0,347000.0,87000.0,approved
1,no,yes,68000.0,170000.0,2,744,155000.0,39000.0,237000.0,35000.0,approved
0,no,no,32000.0,113000.0,6,484,35000.0,55000.0,85000.0,21000.0,rejected
4,no,no,29000.0,104000.0,6,673,51000.0,17000.0,106000.0,17000.0,approved
3,yes,yes,79000.0,212000.0,18,695,138000.0,106000.0,218000.0,49000.0,approved
4,no,yes,39000.0,124000.0,12,473,64000.0,47000.0,131000.0,38000.0,rejected
4,yes,yes,46000.0,110000.0,2,491,90000.0,40000.0,161000.0,35000.0,rejected
3,no,yes,7000.0,17000.0,8,733,12000.0,8000.0,24000.0,5000.0,approved
0,no,no,52000.0,156000.0,20,434,141000.0,58000.0,181000.0,55000.0,rejected
3,no,yes,59000.0,206000.0,10,777,19000.0,46000.0,212000.0,64000.0,approved
4,yes,no,72000.0,191000.0,4,774,94000.0,70000.0,179000.0,36000.0,approved
3,no,yes,11000.0,35000.0,12,503,30000.0,4000.0,22000.0,12000.0,rejected
1,yes,yes,40000.0,109000.0,14,598,36000.0,66000.0,136000.0,44000.0,approved
0,no,yes,27000.0,68000.0,20,796,7000.0,42000.0,70000.0,19000.0,approved
5,no,yes,33000.0,78000.0,16,632,85000.0,5000.0,71000.0,49000.0,approved
1,yes,yes,69000.0,234000.0,4,481,187000.0,11000.0,234000.0,102000.0,approved
3,yes,yes,9000.0,35000.0,4,770,7000.0,0.0,20000.0,6000.0,rejected
3,yes,yes,41000.0,155000.0,6,667,28000.0,16000.0,147000.0,40000.0,approved
3,no,yes,47000.0,175000.0,8,585,12000.0,31000.0,96000.0,49000.0,approved
5,yes,yes,34000.0,116000.0,16,479,92000.0,57000.0,112000.0,24000.0,rejected
2,yes,no,96000.0,225000.0,18,851,74000.0,162000.0,243000.0,127000.0,approved
3,no,yes,70000.0,162000.0,6,378,200000.0,126000.0,203000.0,55000.0,rejected
5,yes,no,57000.0,129000.0,18,807,41000.0,9000.0,186000.0,55000.0,approved
1,no,yes,82000.0,324000.0,18,831,228000.0,123000.0,177000.0,78000.0,approved
2,no,no,21000.0,51000.0,12,674,22000.0,32000.0,64000.0,24000.0,approved
1,no,yes,80000.0,281000.0,18,725,19000.0,128000.0,230000.0,75000.0,approved
2,no,no,80000.0,293000.0,4,600,165000.0,132000.0,294000.0,65000.0,approved
0,no,yes,94000.0,270000.0,10,536,44000.0,17000.0,338000.0,48000.0,rejected
0,yes,no,84000.0,206000.0,10,477,15000.0,15000.0,250000.0,119000.0,rejected
1,no,yes,19000.0,50000.0,6,560,10000.0,19000.0,63000.0,14000.0,approved
0,no,yes,42000.0,164000.0,20,539,95000.0,21000.0,114000.0,31000.0,rejected
5,yes,no,26000.0,91000.0,8,852,37000.0,7000.0,103000.0,33000.0,approved
3,no,no,37000.0,85000.0,20,853,83000.0,57000.0,75000.0,49000.0,approved
0,yes,no,88000.0,309000.0,12,729,17000.0,7000.0,257000.0,114000.0,approved
2,no,no,21000.0,47000.0,2,546,60000.0,32000.0,57000.0,15000.0,rejected
3,yes,yes,9000.0,24000.0,10,489,8000.0,0.0,28000.0,5000.0,rejected
2,no,no,80000.0,200000.0,2,502,41000.0,22000.0,316000.0,99000.0,rejected
0,no,yes,3000.0,11000.0,8,789,4000.0,1000.0,8000.0,4000.0,approved
4,no,no,27000.0,81000.0,4,325,50000.0,8000.0,99000.0,34000.0,approved
3,yes,yes,74000.0,196000.0,2,716,41000.0,89000.0,291000.0,42000.0,approved
5,yes,yes,38000.0,144000.0,2,345,33000.0,8000.0,130000.0,47000.0,approved
0,yes,no,83000.0,194000.0,18,649,25000.0,161000.0,243000.0,113000.0,approved
2,yes,yes,28000.0,74000.0,18,666,1000.0,23000.0,63000.0,34000.0,approved
0,yes,no,86000.0,209000.0,10,813,113000.0,119000.0,260000.0,48000.0,approved
0,no,no,54000.0,168000.0,10,599,53000.0,74000.0,145000.0,76000.0,approved
5,yes,yes,42000.0,94000.0,6,678,47000.0,55000.0,99000.0,57000.0,approved
5,no,no,52000.0,122000.0,20,513,134000.0,20000.0,168000.0,54000.0,rejected
5,yes,no,94000.0,279000.0,4,870,11000.0,2000.0,295000.0,104000.0,approved
3,yes,no,88000.0,204000.0,8,483,32000.0,114000.0,282000.0,118000.0,rejected
1,yes,yes,59000.0,167000.0,16,308,58000.0,88000.0,191000.0,53000.0,rejected
3,yes,yes,17000.0,49000.0,16,591,47000.0,10000.0,43000.0,14000.0,approved
1,no,no,70000.0,230000.0,10,886,140000.0,37000.0,267000.0,36000.0,approved
4,no,no,17000.0,40000.0,6,829,0.0,16000.0,52000.0,17000.0,approved
0,no,no,15000.0,49000.0,12,651,16000.0,28000.0,46000.0,8000.0,approved
4,no,no,20000.0,47000.0,18,733,37000.0,37000.0,70000.0,28000.0,approved
5,yes,yes,39000.0,155000.0,12,433,95000.0,54000.0,79000.0,46000.0,rejected
1,yes,yes,9000.0,36000.0,14,713,13000.0,10000.0,18000.0,12000.0,approved
1,yes,no,69000.0,225000.0,18,403,8000.0,84000.0,169000.0,63000.0,rejected
0,yes,yes,28000.0,78000.0,10,405,78000.0,25000.0,71000.0,34000.0,rejected
3,yes,yes,68000.0,199000.0,10,516,160000.0,60000.0,260000.0,85000.0,rejected
4,no,yes,6000.0,18000.0,8,417,17000.0,7000.0,18000.0,8000.0,rejected
1,no,no,47000.0,140000.0,6,468,113000.0,18000.0,106000.0,46000.0,rejected
5,yes,yes,30000.0,118000.0,10,672,87000.0,36000.0,98000.0,41000.0,approved
5,no,no,40000.0,139000.0,6,530,60000.0,56000.0,125000.0,60000.0,rejected
1,no,yes,31000.0,113000.0,14,824,37000.0,60000.0,110000.0,44000.0,approved
1,no,yes,77000.0,255000.0,12,549,181000.0,106000.0,205000.0,70000.0,rejected
5,no,yes,43000.0,93000.0,10,450,21000.0,67000.0,100000.0,41000.0,rejected
1,yes,yes,58000.0,195000.0,20,431,138000.0,50000.0,156000.0,33000.0,rejected
3,yes,yes,36000.0,107000.0,16,312,23000.0,16000.0,131000.0,52000.0,rejected
0,no,yes,29000.0,76000.0,8,320,80000.0,56000.0,96000.0,31000.0,rejected
0,yes,no,88000.0,202000.0,4,433,160000.0,42000.0,305000.0,124000.0,rejected
1,no,yes,3000.0,10000.0,10,431,4000.0,5000.0,9000.0,1000.0,rejected
5,no,yes,86000.0,289000.0,8,516,99000.0,18000.0,302000.0,68000.0,rejected
2,no,yes,35000.0,120000.0,14,476,11000.0,68000.0,124000.0,29000.0,rejected
5,yes,no,8000.0,26000.0,6,560,1000.0,2000.0,30000.0,10000.0,approved
2,yes,no,80000.0,271000.0,12,674,144000.0,4000.0,253000.0,64000.0,approved
0,no,yes,99000.0,382000.0,6,573,172000.0,100000.0,201000.0,59000.0,approved
2,no,no,33000.0,66000.0,6,331,63000.0,20000.0,89000.0,27000.0,rejected
4,yes,yes,20000.0,67000.0,12,633,1000.0,8000.0,48000.0,20000.0,approved
3,no,no,49000.0,129000.0,18,877,18000.0,70000.0,179000.0,33000.0,approved
5,no,yes,92000.0,236000.0,12,656,14000.0,112000.0,364000.0,49000.0,approved
0,no,no,75000.0,182000.0,6,782,74000.0,120000.0,198000.0,41000.0,approved
5,no,no,90000.0,293000.0,4,531,104000.0,95000.0,355000.0,58000.0,approved
3,no,no,14000.0,41000.0,8,455,30000.0,14000.0,29000.0,21000.0,rejected
3,yes,no,96000.0,199000.0,14,452,42000.0,162000.0,285000.0,66000.0,rejected
2,yes,no,84000.0,332000.0,14,474,196000.0,150000.0,254000.0,115000.0,rejected
3,no,no,64000.0,244000.0,4,483,78000.0,24000.0,191000.0,45000.0,approved
4,yes,no,59000.0,168000.0,8,481,69000.0,114000.0,195000.0,33000.0,rejected
2,yes,yes,22000.0,51000.0,20,859,38000.0,12000.0,64000.0,31000.0,approved
4,yes,yes,56000.0,141000.0,14,696,90000.0,92000.0,165000.0,68000.0,approved
4,no,no,98000.0,287000.0,6,778,166000.0,74000.0,297000.0,111000.0,approved
4,yes,no,44000.0,146000.0,4,499,13000.0,65000.0,161000.0,57000.0,approved
2,no,yes,24000.0,49000.0,4,888,64000.0,43000.0,51000.0,34000.0,approved
1,yes,no,44000.0,108000.0,12,674,96000.0,27000.0,172000.0,53000.0,approved
4,yes,no,37000.0,132000.0,4,802,98000.0,24000.0,125000.0,43000.0,approved
4,no,yes,23000.0,78000.0,8,540,15000.0,34000.0,47000.0,28000.0,rejected
4,yes,yes,59000.0,196000.0,8,726,174000.0,68000.0,201000.0,80000.0,approved
4,no,yes,64000.0,235000.0,2,485,73000.0,27000.0,236000.0,39000.0,approved
4,yes,yes,49000.0,171000.0,6,612,13000.0,70000.0,195000.0,50000.0,approved
2,no,no,57000.0,164000.0,12,708,37000.0,8000.0,150000.0,44000.0,approved
2,no,yes,27000.0,57000.0,8,850,35000.0,50000.0,105000.0,39000.0,approved
2,no,yes,39000.0,113000.0,12,516,31000.0,0.0,104000.0,46000.0,rejected
0,no,no,78000.0,288000.0,12,465,47000.0,75000.0,288000.0,74000.0,rejected
0,yes,no,11000.0,32000.0,20,716,18000.0,14000.0,36000.0,15000.0,approved
4,no,no,2000.0,6000.0,10,404,0.0,1000.0,4000.0,0.0,rejected
0,no,yes,47000.0,106000.0,20,512,84000.0,40000.0,123000.0,70000.0,rejected
3,no,yes,82000.0,206000.0,10,441,161000.0,114000.0,291000.0,61000.0,rejected
